season,name,age,hometown,job,outcome
27,Genevie Mayo,26,South,Neonatal Nurse,4
27,Anastasia Keramidas,30,South,Content Marketing Manager,4
27,Christina Mandrell,26,South,Content Creator,3
27,Brianna Thorbourne,24,Northeast,Entrepreneur,3
27,Bailey Brown,27,South,Executive Recruiter,3
27,Catherine Wong,26,Northeast,Professional Dancer,2
27,Kimberly Gutierrez,30,Northeast,Hospitality Manager,2
27,Victoria Jameson,30,South,Professional Makeup Artist,2
27,Becca Serrano,25,West,Nursing Student,1
27,Cara Ammon,27,Northeast,Corporate Recruiter,1
27,Holland Parsons,24,South,Insurance Marketer,1
27,Lekha Ravi,29,South,Financial Advisor,1
27,Olivia Lewis,24,Northeast,Patient Care Technician,1
27,Olivia Miller,25,Midwest,Stylist,1
27,Sonia Sharma,29,Northeast,Project Manager,1
27,Vanessa Dinh,23,Midwest,Restaurant Marketer,1
27,Viktoria Eichner,29,Foreign,Nanny,1
27,Madison Johnson,26,Midwest,Business Owner,1
28,Kelsey Anderson,25,South,Junior Project Manager,winner
28,Daisy Kent,25,Midwest,Account Executive,runnerUp
28,Rachel Nance,26,West,ICU Nurse,9
28,Maria Georgas,29,Foreign,Executive Assistant,8
28,Jennifer Tran,25,Northeast,PA Student,7
28,Kelsey Toussant,31,West,Actress,7
28,Katelyn DeBacker,26,West,Radiochemist,6
28,Lea Cayanan,23,West,Account Manager,6
28,Lexi Young,30,Midwest,Digital Strategist,6
28,Jessica Edwards,24,South,Executive Assistant,6
28,Autumn Waggoner,26,Midwest,Account Executive,5
28,Madina Alam,31,South,Mental Health Therapist,5
28,Allison Hollinger,26,South,Realtor,4
28,Edwina Dorbor,25,Midwest,Entrepreneur,4
28,Sydney Gordon,28,Northeast,Vintage Store Owner,4
28,Chrissa Perez,26,Foreign,Marketing Director,3
28,Evalin Clark,29,South,Nanny,3
28,Starr Skyler,25,South,Mental Health Counselor,3
28,Erika Cardenas,25,Northeast,Leasing Agent,Week2
28,Marlena Haddad,26,Northeast,Finance Writer,2
28,Taylor Wiens,23,Midwest,Recruiter,2
28,Lauren Hollinger,28,South,Registered Nurse,2
28,Chandler Dewgard,24,Northeast,Graphic Designer,1
28,Kayla Rodgers,27,Midwest,Guidance Counselor,1
28,Kyra Brusch,26,South,Paralegal,1
28,Lanie Latsios,27,Northeast,Realtor,1
28,Natalie Crepeau,26,Foreign,Nursing Professor,1
28,Samantha Hale,31,Northeast,CPA,1
28,Samantha Washington,25,Midwest,Miami Dolphins Cheerleader,1
28,Sandra Rabadi,26,Midwest,Cybersecurity Consultant,1
28,Talyah Jackson,23,West,Esthetician,1
28,Zoe Antona,24,South,Artist,1
